Text,Category,Urgency
Deep crater in the middle of the highway is causing cars to swerve dangerously.,Pothole,High
Small pothole forming on the side of the residential street.,Pothole,Low
Massive pothole near the metro station has caused several bike accidents today.,Pothole,High
"A shallow pit has developed near the park entrance, needs filling soon.",Pothole,Low
Wide pothole on the flyover is impossible to avoid during peak traffic.,Pothole,High
Pothole at the 4th Cross junction is getting deeper after every rain.,Pothole,Medium
Sharp-edged pothole near the market square is damaging vehicle tires.,Pothole,High
Multiple small potholes have appeared in a row on the service road.,Pothole,Medium
"There is a minor pothole near the school gate, requesting a repair.",Pothole,Low
"A large pothole has opened up near the bridge pillar, exposing the gravel.",Pothole,High
Deep pothole right in front of the hospital gate is slowing down ambulances.,Pothole,High
Pothole on the road shoulder is making it difficult for cars to pull over.,Pothole,Medium
A small hole in the asphalt is collecting water and growing larger.,Pothole,Low
Dangerous pothole located on a blind curve of the city bypass road.,Pothole,High
Several potholes are scattered across the internal colony lane.,Pothole,Medium
Wide pothole across the lane makes it very difficult for small cars to pass.,Pothole,High
Pothole filled with loose gravel is causing two-wheelers to skid.,Pothole,Medium
A shallow pothole near the old temple needs a routine maintenance check.,Pothole,Low
Water-logged pothole on the main road is hidden from drivers at night.,Pothole,High
Surface pothole near the bus stop is a minor nuisance for commuters.,Pothole,Low
A deep pothole near the intersection is causing a massive traffic bottleneck.,Pothole,High
Pothole depth is increasing daily near the heavy vehicle weigh-bridge.,Pothole,Medium
Small pit near the pavement edge is a hazard for cyclists.,Pothole,Low
Pothole located right on the zebra crossing is a trip hazard for pedestrians.,Pothole,High
Recurring pothole at the apartment entrance needs a permanent fix.,Pothole,Medium
Huge pothole on the airport road is a major safety risk for travelers.,Pothole,High
Pothole near the traffic signal is causing cars to brake abruptly.,Pothole,High
Small pothole near the post office is starting to crumble further.,Pothole,Low
Deep pothole on the high-speed lane of the expressway is a death trap.,Pothole,High
Pothole has formed right over the underground water pipe repair site.,Pothole,Medium
Large pothole at the base of the flyover ramp is causing vehicles to bottom out.,Pothole,High
Pothole on the narrow bridge is forcing alternating one-way traffic.,Pothole,High
Small pit in the road near the community center needs a quick patch.,Pothole,Low
Pothole depth exceeds 10cm on the main commercial artery.,Pothole,High
A pothole has formed around a protruding manhole cover on the street.,Pothole,Medium
Sharp stones inside a deep pothole punctured my car tire this morning.,Pothole,High
Pothole on the bike path is forcing cyclists into the main traffic lane.,Pothole,High
Small pothole near the residential gym is a minor inconvenience.,Pothole,Low
Massive pothole near the petrol pump is dangerous for fuel tankers.,Pothole,High
Pothole is hidden under a large puddle of stagnant water.,Pothole,High
Small pothole near the library park is slowly expanding.,Pothole,Low
Pothole at the blind turn is causing near-misses every few minutes.,Pothole,High
Deep pothole in the middle of the bus terminal lane.,Pothole,Medium
Pothole near the school zone is dangerous for children on bicycles.,Pothole,High
Shallow pothole near the bypass exit needs attention before monsoon.,Pothole,Low
Pothole is so wide that it occupies nearly half of the narrow lane.,Pothole,High
Loose tar around a pothole is hitting the windshields of following cars.,Pothole,Medium
Small pothole near the shopping mall parking exit.,Pothole,Low
Deep pothole right at the bottom of the highway exit ramp.,Pothole,High
Pothole edges are very sharp and damaging the vehicle suspension.,Pothole,High
Multiple potholes have made the road look like a washboard.,Pothole,Medium
"Small pothole near the fire station entrance, requesting repair.",Pothole,Low
Pothole is expanding rapidly due to heavy truck movement.,Pothole,High
Pothole depth is dangerous for two-wheelers on the ring road.,Pothole,High
A shallow pothole has appeared near the suburban market.,Pothole,Low
Pothole on the slip road is causing sudden lane changes.,Pothole,Medium
Deep pothole near the railway crossing is damaging vehicle wheels.,Pothole,High
Small pothole near the park boundary wall is a minor issue.,Pothole,Low
Pothole near the toll booth is slowing down the entire lane.,Pothole,Medium
Massive pothole on the industrial bypass is a major hazard.,Pothole,High
Pothole is causing cars to scrape their undercarriages.,Pothole,High
Small pothole on the quiet dead-end street.,Pothole,Low
Deep pothole right in the path of the bus wheels at the stop.,Pothole,Medium
Pothole at the main signal junction is causing daily accidents.,Pothole,High
Pothole near the university gate is obstructing student traffic.,Pothole,Medium
Small pit near the manhole cover is a hazard for narrow tires.,Pothole,Low
Pothole in the fast lane is forcing drivers to swerve at high speed.,Pothole,High
Pothole depth is over 6 inches on the main factory road.,Pothole,High
"Minor pothole near the post office, needs a simple patch job.",Pothole,Low
Pothole near the blind curve is a death trap for night commuters.,Pothole,High
Multiple potholes on the bridge are making the structure vibrate.,Pothole,Medium
Small pothole near the community garden gate.,Pothole,Low
Pothole filled with rainwater is extremely deceptive and deep.,Pothole,High
Pothole is located right in the center of the lane on the highway.,Pothole,High
A shallow pothole has formed near the metro parking lot.,Pothole,Low
Pothole near the bank entrance is affecting customer parking.,Pothole,Medium
Deep pothole near the highway entrance ramp is a safety risk.,Pothole,High
Pothole at the intersection is stalling traffic for miles.,Pothole,High
Small pothole near the playground is a minor safety concern.,Pothole,Low
Pothole on the narrow lane is blocking passage for larger vehicles.,Pothole,Medium
Massive crater has formed overnight due to a water leak.,Pothole,High
Pothole is causing bikers to lose balance on the wet road.,Pothole,High
Small pothole near the city library is a nuisance.,Pothole,Low
Pothole near the supermarket is causing a traffic bottleneck.,Pothole,Medium
